код                   КАТО,Period,Всего,"Сельское, лесное и рыбное хозяйство",Промышленность,Горнодобывающая промышленность и разработка карьеров,Обрабатывающая промышленность,"Электроснабжение, подача газа, пара и воздушное кондиционирование","Водоснабжение; канализационная система, контроль над сбором и распределением отходов",Строительство,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,Транспорт и складирование,Услуги по проживанию и питанию,Информация и связь,Финансовая и страховая деятельность,Операции с недвижимым имуществом,"Профессиональная, научная и техническая деятельность",Деятельность в области административного и вспомогательного обслуживания,Государственное управление и оборона; обязательное социальное обеспечение,Образование,Здравоохранение и социальные услуги,"Искусство, развлечения и отдых",Предоставление прочих видов услуг,Прочие услуги,КИУФП 1),Чистые налоги на продукты и импорт,КАТО коды,Валовой региональный продукт,Валовая добавленная стоимость,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,I квартал 2017 года,10431358.0,214414.1,3160398.6,1534890.6,1337369.0,256585.4,31553.6,365684.0,1550590.6,903001.0,117747.4,176290.0,376387.9,854400.2,576005.4,251375.1,210388.3,353617.9,241933.1,70346.5,258117.0,,,750660.9,,,,,,,,,,,,,,,,,,,,,,,
,I полугодие 2017 года,21546269.7,522147.5,6283949.5,3238816.5,2560757.3,423874.8,60500.9,1047485.4,3316986.9,1770244.4,191649.9,387464.7,839483.2,1783175.4,1020505.8,497525.3,413001.9,736791.3,479180.1,160828.4,589593.8,,,1506256.2,,,,,,,,,,,,,,,,,,,,,,,
,9 месяцев 2017 года,35142065.2,1568223.1,9668245.4,4901352.1,4039101.7,629300.5,98491.1,1952854.7,5436349.2,2687688.7,338137.2,629160.4,1429770.7,2694684.0,1439276.5,763107.0,820716.8,1242272.4,769201.1,260607.2,1179341.8,,,2262429.0,,,,,,,,,,,,,,,,,,,,,,,
,2017 год,54378857.8,2456284.6,14600972.1,7421694.4,6134020.5,903522.7,141734.5,2977116.2,9141161.9,4453674.7,645467.1,1089261.8,2020521.6,4515363.5,2457398.9,1240767.3,914529.6,1528964.5,1075843.5,415736.0,1662796.0,,,3182998.5,,,,,,,,,,,,,,,,,,,,,,,
,I квартал 2018 года,11786166.7,238092.5,3714387.6,1882800.2,1518777.7,276591.4,36218.3,393425.4,1726118.0,963303.1,130431.4,190716.1,450305.8,949332.1,649979.3,290163.1,208513.3,380577.6,256229.4,79927.1,298340.7,,,866324.2,,,,,,,,,,,,,,,,,,,,,,,
11,Акмолинская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Актюбинская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Алматинская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Атырауская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Западно-Казахстанская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Жамбылская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Карагандинская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Костанайская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Кызылординская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Мангистауская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Южно-Казахстанская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Павлодарская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Северо-Казахстанская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Туркестанская 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Восточно-Казахстанская,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,г. Астана,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,г. Алматы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,г.Шымкент 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Косвенно-измеряемые услуги финансового посредничества,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I полугодие 2018 года,,,,,,,,,,,,,,,,,,,,,,,,1858322.1,,24857119.2,606063.8,7734525.7,4189830.3,2992380.3,478744.8,73570.3,1143145.6,3724434.4,1981913.6,213917.8,415941.2,956795.4,1890753.5,1151532.1,571370.3,423693.5,790891.9,511860,180946.2,701012.1,
,9 месяцев 2018 года,,,,,,,,,,,,,,,,,,,,,,,,3005344.7,,39767105.7,1658959.4,11838387.5,6337465.7,4698754.6,691792,110375.2,2122497.1,6075568.5,3056881.6,335352.8,661763.5,1435397.5,2777846.1,1599410.7,859362,661577.1,1332118.4,780111.1,280996.1,1285531.6,
,2018 год,,,,,,,,,,,,,,,,,,,,,,,,4112983.1,,61819536.4,2717499.1,17421280.9,9204650,7065121.6,995420.5,156088.8,3285914.9,10366506.1,5065480.5,703857.5,1182681.6,2048002.8,4793647.7,2742926.9,1371432.8,934017.6,1657450.4,1172754.3,450094.6,1793005.6,
,I квартал 2019 года,,,,,,,,,,,,,,,,,,,,,,,,1084877.5,,13180857.2,274580.6,4064140,2125713.4,1631421.7,265181.8,41823.1,444065.4,1941902.1,1084730.3,141712.1,208549.1,511343.6,1036448.9,713415.7,322876.2,244017.8,410476.1,279152.2,86460.1,332109.5,
,I полугодие 2019 года,,,,,,,,,,,,,,,,,,,,,,,,2270493.1,,27908618.1,678911.8,8650663.2,4783751.8,3318029.4,468375,80507,1302045.1,4234904.4,2239738.6,238068.2,450723.5,911233.2,2036667.7,1276206.8,653226.3,525930.4,853785.1,559874.8,199010.5,827135.4,
,9 месяцев 2019 года,,,,,,,,,,,,,,,,,,,,,,,,3570894.3,,44297912.1,1897182.5,12937664.4,6944960.4,5164537.7,708187,119979.3,2466720.2,6888603.1,3414175.3,371547,718114.1,1414379.8,3009927,1747535.3,976872,809170.9,1440890.6,857404.6,320488.1,1456342.9,
,2019 год,,,,,,,,,,,,,,,,,,,,,,,,4851021.7,,69532626.5,3105560.7,19154492.5,10032109.5,7972864.1,980795.2,168723.7,3811296.8,11788364,5589850.6,793329.6,1349561.9,2233384.2,5222690.9,3062749.9,1600314.9,1175340.4,1859275.3,1326324.9,508692.8,2100375.4,
,I квартал 2020 года,,,,,,,,,,,,,,,,,,,,,,,,1039215.9,,15093342.4,336754.6,4540678.7,2247848.1,1953607.5,291412.1,47811,602371.2,2256100,1188676.2,152402.6,258400.7,710435.5,1159483.8,812417.5,376034.8,287151.1,503914.7,350810,98164.9,420330.2,
,I полугодие 2020 года,,,,,,,,,,,,,,,,,,,,,,,,1728197.9,,28399592.7,803610.8,8732162.1,4360628.2,3754421.3,527181,89931.6,1541538.3,4100980.6,2095568.3,245804.4,545152.3,1002073.5,2111233.6,1336789.2,710217.5,616309.4,1090651.1,665947.3,213859.4,859497,
,9 месяцев 2020 года,,,,,,,,,,,,,,,,,,,,,,,,2795566.4,,45803255.2,2327245.9,13233038,6396554.6,5888918.2,811005.2,136560,2779881.4,6679859.7,3062637.1,355351.3,838282.6,1707961.7,3690174.3,1776295.3,984796.9,931294.4,1725278.6,1017756.7,369967.6,1527867.3,
,2020 год,,,,,,,,,,,,,,,,,,,,,,,,3820798.1,,70649033.2,3808889.1,19098171.4,8596835.5,9235617.6,1097125.1,168593.2,4285102.3,12166037.6,4824663.8,722736,1670561,2376245.1,5147649,2919937.4,1609821,1342993.7,2572779.7,1804796.2,639680.6,1838171.2,
,I квартал 2021 года,,,,,,,,,,,,,,,,,,,,,,,,864011.3,,15938671.5,397251.6,5112711.9,2373035.6,2360000.8,326108.6,53566.9,682917.7,2371895.2,1077190.9,159972.4,289248.9,633709.9,1253990.1,853046.6,360014.9,351848.5,606600.2,395748.7,98668.6,429844.1,
,I полугодие 2021 года,,,,,,,,,,,,,,,,,,,,,,,,2281756.7,,32265436.5,922684.2,10206517.3,5013287.6,4506592.8,588070,98566.9,1736876.1,4772050.6,2116483.3,267560.7,646314.7,1159763.7,2165642.1,1347193.5,638128.2,733087.1,1397916.8,816624.2,224506.9,832330.4,
,9 месяцев 2021 года,,,,,,,,,,,,,,,,,,,,,,,,3737341.1,,53029365.7,2709556.8,16182687.3,7864138.7,7272551,894190.1,151807.5,3081495.4,7868609.1,3278347,389647,1019355.6,1820810.8,3619929.3,1790292.1,963676.9,1101953.1,2204570.5,1324183.9,388279.7,1548630.1,
,2021 год,,,,,,,,,,,,,,,,,,,,,,,,4855517.6,,83951587.9,4222766.5,24841595.1,11886878.4,11424765.7,1310044.3,219906.7,4765552.3,14106194.6,5718757,812752.2,1952156.7,2438216,5486403.2,3106546.6,1741828.5,1533106.6,3245879.8,2459919.9,731327.4,1933067.9,
,I квартал 2022 года,,,,,,,,,,,,,,,,,,,,,,,,1668111.4,,19695592.8,468601.8,6406076.2,3082835.8,2907249.4,355660.3,60330.7,775396.2,2813396.2,1282344.1,170742.6,339517.9,704703.1,1466134.8,903993.1,407960.4,412324.6,783146,479856.4,168017.1,445270.9,
,I полугодие 2022 года,,,,,,,,,,,,,,,,,,,,,,,,3513474.8,,40034332.6,1109432.7,13170633.6,6863402.2,5544062.8,647705,115463.6,1989877.3,5668895.7,2486663.6,303909.6,750687.9,1415092.8,2574346.7,1429395.7,762028.1,874127.7,1830740.7,955365.8,294955.4,904704.5,
,9 месяцев 2022 года,,,,,,,,,,,,,,,,,,,,,,,,5609404.5,,65487797.9,3396125.2,20527934.3,10447491.4,8929638.6,975239.6,175564.7,3436765,9304243.7,3778785.5,460970.7,1159971.7,2284550.7,4430798.5,1935803.2,1230774.6,1340726.6,2860028.3,1555558.1,449989.8,1725367.5,
,2022 год,,,,,,,,,,,,,,,,,,,,,,,,7398002.7,,103765518.2,5444727.3,30841860.5,15210887.2,13929790.7,1452458.8,248723.8,5454692.3,17046877.7,6391443.3,1052069.3,2109087.4,3171635.7,6732562,3427482.3,2219160.6,1961063.2,4224630.8,2959635.6,928891.5,2401696,
,I квартал 2023 года,,,,,,,,,,,,,,,,,,,,,,,,2103666.6,,23582637.0,542781.1,6887049.4,3041150.5,3374411.5,402803.4,68684,910354.9,3798911,1342075.8,227758,410940,890258.5,1924522.9,1170842.4,515538.2,502422.2,941988.1,622225.7,217904.8,573397.4,
,I полугодие 2023 года,,,,,,,,,,,,,,,,,,,,,,,,4224846.2,,47244671.5,1276262,13854450.8,6786106,6182096.6,755196.9,131051.3,2325325.3,7379424,2767909.5,377404.1,978405.7,1885914.3,3525276.9,1821854.1,966491.6,1039819,2186669,1149391.9,349180.5,1136046.6,
,9 месяцев 2023 года,,,,,,,,,,,,,,,,,,,,,,,,6521152.4,,75546820.3,3096720.2,20996534.9,10222736,9445182.7,1126172.6,202443.6,4022367.3,11906846.5,4137576.2,577627.4,1507394.6,2837540.5,5902743.3,2524994.6,1593098,1548658.3,3590489.1,1975392.1,565893.7,2241791.2,
